사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2019081300100175,2019년 8월 13일 09시,화요일,대전광역시 대덕구 신탄진동,중상사고,0,1,0,0,차대사람 - 기타,신호위반,건조,맑음,교차로 - 교차로부근,승용,남,76세,기타불명,보행자,여,82세,중상
2019081300100253,2019년 8월 13일 11시,화요일,대전광역시 동구 홍도동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로안,화물,남,60세,상해없음,보행자,여,82세,중상
2019081300100297,2019년 8월 13일 12시,화요일,대전광역시 서구 도마동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,75세,상해없음,보행자,남,29세,경상
2019081300100333,2019년 8월 13일 13시,화요일,대전광역시 중구 대흥동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,교차로 - 교차로부근,승용,남,35세,상해없음,보행자,남,30세,경상
2019081300100591,2019년 8월 13일 19시,화요일,대전광역시 대덕구 덕암동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,53세,상해없음,보행자,여,23세,중상
2019081300100628,2019년 8월 13일 20시,화요일,대전광역시 중구 태평동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,여,65세,상해없음,보행자,여,67세,중상
2019081300100666,2019년 8월 13일 21시,화요일,대전광역시 중구 중촌동,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,단일로 - 기타,승용,남,38세,상해없음,보행자,남,43세,중상
2019081400100043,2019년 8월 14일 00시,수요일,대전광역시 유성구 신봉동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,19세,상해없음,보행자,남,33세,중상
2019081400100127,2019년 8월 14일 07시,수요일,대전광역시 유성구 노은동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,교차로 - 교차로횡단보도내,승용,남,29세,상해없음,보행자,남,17세,경상
2019081400100262,2019년 8월 14일 10시,수요일,대전광역시 중구 산성동,중상사고,0,1,0,0,차대사람 - 기타,기타,건조,맑음,단일로 - 기타,승합,남,49세,상해없음,보행자,여,76세,중상
2019081400100502,2019년 8월 14일 16시,수요일,대전광역시 대덕구 신대동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,66세,기타불명,보행자,남,28세,경상
2019081400100620,2019년 8월 14일 18시,수요일,대전광역시 대덕구 중리동,중상사고,0,1,0,0,차대사람 - 기타,기타,건조,맑음,단일로 - 기타,승용,남,58세,상해없음,보행자,여,74세,중상
2019081400100800,2019년 8월 14일 23시,수요일,대전광역시 서구 둔산동,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,교차로 - 교차로횡단보도내,승합,남,23세,상해없음,보행자,여,26세,중상
2019081400100801,2019년 8월 14일 23시,수요일,대전광역시 서구 둔산동,중상사고,0,1,0,0,차대사람 - 길가장자리구역통행중,안전운전불이행,건조,맑음,단일로 - 기타,기타불명,기타불명,미분류,기타불명,보행자,남,20세,중상
2019081500100215,2019년 8월 15일 12시,목요일,대전광역시 서구 월평동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,기타 - 기타,승용,여,48세,상해없음,보행자,여,64세,경상
2019081500100288,2019년 8월 15일 14시,목요일,대전광역시 동구 용전동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,젖음/습기,비,단일로 - 기타,승용,여,46세,상해없음,보행자,여,23세,경상
2019081500100353,2019년 8월 15일 16시,목요일,대전광역시 동구 가오동,중상사고,0,1,0,0,차대사람 - 기타,기타,건조,맑음,단일로 - 기타,승합,남,39세,상해없음,보행자,여,86세,중상
